lat,lon,city,pace_app_count
37.630489, -122.411083, San Bruno, 32
37.507158, -122.260522, San Carlos, 2
33.426972, -117.611992, San Clemente, 31
32.715328, -117.157256, San Diego, 636
34.106675, -117.806725, San Dimas, 20
34.281947, -118.438972, San Fernando, 43
37.774931, -122.419417, San Francisco, 230
34.096111, -118.105833, San Gabriel, 15
33.783908, -116.958636, San Jacinto, 23
36.606617, -120.189044, San Joaquin, 3
37.339386, -121.894956, San Jose, 441
36.845511, -121.537997, San Juan Bautista, 19
33.501692, -117.66255, San Juan Capistrano
37.724931, -122.156078, San Leandro, 96
35.282753, -120.659617, San Luis Obispo, 18
33.143372, -117.166144, San Marcos, 41
34.121397, -118.106458, San Marino, 8
37.562992, -122.325525, San Mateo, 26
37.962147, -122.345525, San Pablo, 67
37.973536, -122.531086, San Rafael, 87
37.779928, -121.978014, San Ramon, 56
36.617183, -121.848286, Sand City
36.708006, -119.555964, Sanger, 89
33.745572, -117.867833, Santa Ana, 218
34.420831, -119.698189, Santa Barbara
37.354108, -121.955236, Santa Clara, 21
34.391664, -118.542586, Santa Clarita, 301
36.974117, -122.030797, Santa Cruz, 26
33.947236, -118.085344, Santa Fe Springs, 40
34.953033, -120.435719, Santa Maria
34.019453, -118.491192, Santa Monica, 7
34.354167, -119.059269, Santa Paula, 14
38.440467, -122.714431, Santa Rosa, 29
32.838383, -116.973917, Santee, 55
37.263833, -122.023014, Saratoga, 12
37.859094, -122.48525, Sausalito, 35
37.051061, -122.014683, Scotts Valley, 11
33.741406, -118.104786, Seal Beach
33.819361, -118.366647, Seaside, 16
38.402136, -122.823881, Sebastopol, 12
36.570783, -119.612075, Selma, 51
35.500514, -119.271775, Shafter, 42
40.680428, -122.370842, Shasta Lake
34.161672, -118.052847, Sierra Madre, 9
33.804461, -118.167847, Signal Hill, 7
34.269447, -118.781483, Simi Valley, 206
32.991156, -117.271147, Soledad, 9
34.595819, -120.137647, Solvang
38.291858, -122.458036, Sonoma, 11
37.984092, -120.382139, Sonora
34.051956, -118.046733, South El Monte, 8
33.954736, -118.212017, South Gate, 155
38.939925, -119.977186, South Lake Tahoe, 1
34.116119, -118.15035, South Pasadena, 11
37.654656, -122.40775, South San Francisco, 33
38.505242, -122.470386, St. Helena
33.802517, -117.993117, Stanton, 12
37.957703, -121.290781, Stockton, 539
38.238247, -122.040244, Suisun City, 103
37.368831, -122.03635, Sunnyvale, 56
40.416283, -120.653006, Susanville
38.392967, -120.802436, Sutter Creek
35.142467, -119.456508, Taft, 7
35.132189, -118.448975, Tehachapi, 11
40.027103, -122.123322, Tehama
33.493639, -117.148364, Temecula, 32
34.107231, -118.057847, Thousand Oaks, 154
33.83585, -118.340628, Torrance, 79
37.73965, -121.425222, Tracy, 147
41.059292, -124.143125, Trinidad, 1
36.207728, -119.347339, Tulare, 164
41.955989, -121.477492, Tulelake
37.494658, -120.846594, Turlock, 49
33.74585, -117.826167, Tustin
34.135558, -116.054169, Twentynine Palms, 15
39.150172, -123.207783, Ukiah, 15
37.593392, -122.043831, Union City, 56
34.097511, -117.648389, Upland, 31
38.356578, -121.987744, Vacaville, 273
38.104086, -122.256636, Vallejo, 317
34.274639, -119.229006, Ventura, 76
34.003903, -118.230072, Vernon
34.536108, -117.291158, Victorville, 18
33.814461, -117.813111, Villa Park
36.330228, -119.292058, Visalia, 297
33.200036, -117.242536, Vista, 56
34.020289, -117.865339, Walnut, 13
37.910078, -122.065183, Walnut Creek, 49
35.594125, -119.340947, Wasco, 31
37.641319, -120.760483, Waterford, 11
36.910231, -121.756894, Watsonville, 30
41.42265, -122.386128, Weed
34.068622, -117.938953, West Covina, 117
34.090008, -118.361744, West Hollywood, 2
38.580461, -121.530233, West Sacramento, 70
34.145839, -118.805647, Westlake Village, 35
33.751342, -117.993992, Westminster, 49
33.037267, -115.621383, Westmorland
39.009894, -121.423014, Wheatland, 1
33.979178, -118.032844, Whittier, 288
33.598914, -117.280036, Wildomar, 16
39.154614, -122.149419, Williams
39.409608, -123.355567, Willits, 6
39.524325, -122.193592, Willows, 6
38.524906, -121.970803, Winters, 9
36.413561, -119.098717, Woodlake, 3
38.678517, -121.773297, Woodland, 83
33.888625, -117.813111, Yorba Linda
41.735419, -122.634472, Yreka
39.140447, -121.616911, Yuba City, 72
34.033625, -117.043086, Yucaipa
